,iflandmark,index,name
0,2,0,/a/airfield
1,1,1,/a/airplane_cabin
2,1,2,/a/airport_terminal
3,1,3,/a/alcove
4,2,4,/a/alley
5,2,5,/a/amphitheater
6,1,6,/a/amusement_arcade
7,2,7,/a/amusement_park
8,2,8,/a/apartment_building/outdoor
9,1,9,/a/aquarium
10,2,10,/a/aqueduct
11,1,11,/a/arcade
12,2,12,/a/arch
13,1,13,/a/archaelogical_excavation
14,1,14,/a/archive
15,1,15,/a/arena/hockey
16,1,16,/a/arena/performance
17,1,17,/a/arena/rodeo
18,2,18,/a/army_base
19,1,19,/a/art_gallery
20,1,20,/a/art_school
21,1,21,/a/art_studio
22,1,22,/a/artists_loft
23,1,23,/a/assembly_line
24,2,24,/a/athletic_field/outdoor
25,1,25,/a/atrium/public
26,1,26,/a/attic
27,1,27,/a/auditorium
28,1,28,/a/auto_factory
29,1,29,/a/auto_showroom
30,2,30,/b/badlands
31,1,31,/b/bakery/shop
32,2,32,/b/balcony/exterior
33,2,33,/b/balcony/interior
34,1,34,/b/ball_pit
35,1,35,/b/ballroom
36,2,36,/b/bamboo_forest
37,1,37,/b/bank_vault
38,1,38,/b/banquet_hall
39,1,39,/b/bar
40,2,40,/b/barn
41,2,41,/b/barndoor
42,2,42,/b/baseball_field
43,1,43,/b/basement
44,1,44,/b/basketball_court/indoor
45,1,45,/b/bathroom
46,1,46,/b/bazaar/indoor
47,2,47,/b/bazaar/outdoor
48,2,48,/b/beach
49,2,49,/b/beach_house
50,1,50,/b/beauty_salon
51,1,51,/b/bedchamber
52,1,52,/b/bedroom
53,2,53,/b/beer_garden
54,1,54,/b/beer_hall
55,1,55,/b/berth
56,1,56,/b/biology_laboratory
57,2,57,/b/boardwalk
58,2,58,/b/boat_deck
59,2,59,/b/boathouse
60,1,60,/b/bookstore
61,1,61,/b/booth/indoor
62,2,62,/b/botanical_garden
63,1,63,/b/bow_window/indoor
64,1,64,/b/bowling_alley
65,1,65,/b/boxing_ring
66,2,66,/b/bridge
67,2,67,/b/building_facade
68,2,68,/b/bullring
69,1,69,/b/burial_chamber
70,1,70,/b/bus_interior
71,2,71,/b/bus_station/indoor
72,1,72,/b/butchers_shop
73,2,73,/b/butte
74,2,74,/c/cabin/outdoor
75,1,75,/c/cafeteria
76,2,76,/c/campsite
77,2,77,/c/campus
78,2,78,/c/canal/natural
79,2,79,/c/canal/urban
80,1,80,/c/candy_store
81,2,81,/c/canyon
82,1,82,/c/car_interior
83,2,83,/c/carrousel
84,2,84,/c/castle
85,1,85,/c/catacomb
86,2,86,/c/cemetery
87,2,87,/c/chalet
88,1,88,/c/chemistry_lab
89,1,89,/c/childs_room
90,1,90,/c/church/indoor
91,2,91,/c/church/outdoor
92,1,92,/c/classroom
93,1,93,/c/clean_room
94,2,94,/c/cliff
95,1,95,/c/closet
96,1,96,/c/clothing_store
97,2,97,/c/coast
98,1,98,/c/cockpit
99,1,99,/c/coffee_shop
100,1,100,/c/computer_room
101,1,101,/c/conference_center
102,1,102,/c/conference_room
103,2,103,/c/construction_site
104,2,104,/c/corn_field
105,2,105,/c/corral
106,1,106,/c/corridor
107,2,107,/c/cottage
108,2,108,/c/courthouse
109,2,109,/c/courtyard
110,2,110,/c/creek
111,2,111,/c/crevasse
112,2,112,/c/crosswalk
113,2,113,/d/dam
114,1,114,/d/delicatessen
115,1,115,/d/department_store
116,2,116,/d/desert/sand
117,2,117,/d/desert/vegetation
118,2,118,/d/desert_road
119,2,119,/d/diner/outdoor
120,1,120,/d/dining_hall
121,1,121,/d/dining_room
122,1,122,/d/discotheque
123,2,123,/d/doorway/outdoor
124,1,124,/d/dorm_room
125,2,125,/d/downtown
126,1,126,/d/dressing_room
127,2,127,/d/driveway
128,1,128,/d/drugstore
129,1,129,/e/elevator/door
130,1,130,/e/elevator_lobby
131,1,131,/e/elevator_shaft
132,2,132,/e/embassy
133,1,133,/e/engine_room
134,1,134,/e/entrance_hall
135,1,135,/e/escalator/indoor
136,2,136,/e/excavation
137,1,137,/f/fabric_store
138,2,138,/f/farm
139,1,139,/f/fastfood_restaurant
140,2,140,/f/field/cultivated
141,2,141,/f/field/wild
142,2,142,/f/field_road
143,2,143,/f/fire_escape
144,2,144,/f/fire_station
145,2,145,/f/fishpond
146,1,146,/f/flea_market/indoor
147,1,147,/f/florist_shop/indoor
148,1,148,/f/food_court
149,2,149,/f/football_field
150,2,150,/f/forest/broadleaf
151,2,151,/f/forest_path
152,2,152,/f/forest_road
153,2,153,/f/formal_garden
154,2,154,/f/fountain
155,1,155,/g/galley
156,1,156,/g/garage/indoor
157,2,157,/g/garage/outdoor
158,2,158,/g/gas_station
159,2,159,/g/gazebo/exterior
160,1,160,/g/general_store/indoor
161,2,161,/g/general_store/outdoor
162,1,162,/g/gift_shop
163,2,163,/g/glacier
164,2,164,/g/golf_course
165,1,165,/g/greenhouse/indoor
166,2,166,/g/greenhouse/outdoor
167,2,167,/g/grotto
168,1,168,/g/gymnasium/indoor
169,1,169,/h/hangar/indoor
170,2,170,/h/hangar/outdoor
171,2,171,/h/harbor
172,1,172,/h/hardware_store
173,2,173,/h/hayfield
174,2,174,/h/heliport
175,2,175,/h/highway
176,1,176,/h/home_office
177,1,177,/h/home_theater
178,2,178,/h/hospital
179,1,179,/h/hospital_room
180,2,180,/h/hot_spring
181,2,181,/h/hotel/outdoor
182,1,182,/h/hotel_room
183,2,183,/h/house
184,2,184,/h/hunting_lodge/outdoor
185,1,185,/i/ice_cream_parlor
186,2,186,/i/ice_floe
187,2,187,/i/ice_shelf
188,1,188,/i/ice_skating_rink/indoor
189,2,189,/i/ice_skating_rink/outdoor
190,2,190,/i/iceberg
191,2,191,/i/igloo
192,2,192,/i/industrial_area
193,2,193,/i/inn/outdoor
194,2,194,/i/islet
195,1,195,/j/jacuzzi/indoor
196,1,196,/j/jail_cell
197,2,197,/j/japanese_garden
198,1,198,/j/jewelry_shop
199,2,199,/j/junkyard
200,2,200,/k/kasbah
201,2,201,/k/kennel/outdoor
202,1,202,/k/kindergarden_classroom
203,1,203,/k/kitchen
204,2,204,/l/lagoon
205,2,205,/l/lake/natural
206,2,206,/l/landfill
207,2,207,/l/landing_deck
208,1,208,/l/laundromat
209,2,209,/l/lawn
210,1,210,/l/lecture_room
211,1,211,/l/legislative_chamber
212,1,212,/l/library/indoor
213,2,213,/l/library/outdoor
214,2,214,/l/lighthouse
215,1,215,/l/living_room
216,2,216,/l/loading_dock
217,1,217,/l/lobby
218,2,218,/l/lock_chamber
219,1,219,/l/locker_room
220,2,220,/m/mansion
221,2,221,/m/manufactured_home
222,1,222,/m/market/indoor
223,2,223,/m/market/outdoor
224,2,224,/m/marsh
225,1,225,/m/martial_arts_gym
226,2,226,/m/mausoleum
227,2,227,/m/medina
228,1,228,/m/mezzanine
229,2,229,/m/moat/water
230,2,230,/m/mosque/outdoor
231,2,231,/m/motel
232,2,232,/m/mountain
233,2,233,/m/mountain_path
234,2,234,/m/mountain_snowy
235,1,235,/m/movie_theater/indoor
236,1,236,/m/museum/indoor
237,2,237,/m/museum/outdoor
238,1,238,/m/music_studio
239,1,239,/n/natural_history_museum
240,1,240,/n/nursery
241,1,241,/n/nursing_home
242,2,242,/o/oast_house
243,2,243,/o/ocean
244,1,244,/o/office
245,2,245,/o/office_building
246,1,246,/o/office_cubicles
247,2,247,/o/oilrig
248,1,248,/o/operating_room
249,2,249,/o/orchard
250,1,250,/o/orchestra_pit
251,2,251,/p/pagoda
252,2,252,/p/palace
253,1,253,/p/pantry
254,2,254,/p/park
255,1,255,/p/parking_garage/indoor
256,2,256,/p/parking_garage/outdoor
257,2,257,/p/parking_lot
258,2,258,/p/pasture
259,2,259,/p/patio
260,2,260,/p/pavilion
261,1,261,/p/pet_shop
262,1,262,/p/pharmacy
263,2,263,/p/phone_booth
264,1,264,/p/physics_laboratory
265,2,265,/p/picnic_area
266,2,266,/p/pier
267,1,267,/p/pizzeria
268,2,268,/p/playground
269,1,269,/p/playroom
270,2,270,/p/plaza
271,2,271,/p/pond
272,2,272,/p/porch
273,2,273,/p/promenade
274,1,274,/p/pub/indoor
275,2,275,/r/racecourse
276,2,276,/r/raceway
277,2,277,/r/raft
278,2,278,/r/railroad_track
279,2,279,/r/rainforest
280,1,280,/r/reception
281,1,281,/r/recreation_room
282,1,282,/r/repair_shop
283,2,283,/r/residential_neighborhood
284,1,284,/r/restaurant
285,1,285,/r/restaurant_kitchen
286,2,286,/r/restaurant_patio
287,2,287,/r/rice_paddy
288,2,288,/r/river
289,2,289,/r/rock_arch
290,2,290,/r/roof_garden
291,2,291,/r/rope_bridge
292,2,292,/r/ruin
293,2,293,/r/runway
294,2,294,/s/sandbox
295,1,295,/s/sauna
296,2,296,/s/schoolhouse
297,1,297,/s/science_museum
298,1,298,/s/server_room
299,2,299,/s/shed
300,1,300,/s/shoe_shop
301,2,301,/s/shopfront
302,1,302,/s/shopping_mall/indoor
303,1,303,/s/shower
304,2,304,/s/ski_resort
305,2,305,/s/ski_slope
306,2,306,/s/sky
307,2,307,/s/skyscraper
308,2,308,/s/slum
309,2,309,/s/snowfield
310,2,310,/s/soccer_field
311,1,311,/s/stable
312,2,312,/s/stadium/baseball
313,2,313,/s/stadium/football
314,2,314,/s/stadium/soccer
315,1,315,/s/stage/indoor
316,2,316,/s/stage/outdoor
317,1,317,/s/staircase
318,1,318,/s/storage_room
319,2,319,/s/street
320,1,320,/s/subway_station/platform
321,1,321,/s/supermarket
322,1,322,/s/sushi_bar
323,2,323,/s/swamp
324,1,324,/s/swimming_hole
325,1,325,/s/swimming_pool/indoor
326,2,326,/s/swimming_pool/outdoor
327,2,327,/s/synagogue/outdoor
328,1,328,/t/television_room
329,1,329,/t/television_studio
330,2,330,/t/temple/asia
331,1,331,/t/throne_room
332,1,332,/t/ticket_booth
333,2,333,/t/topiary_garden
334,2,334,/t/tower
335,1,335,/t/toyshop
336,1,336,/t/train_interior
337,1,337,/t/train_station/platform
338,2,338,/t/tree_farm
339,2,339,/t/tree_house
340,2,340,/t/trench
341,2,341,/t/tundra
342,2,342,/u/underwater/ocean_deep
343,1,343,/u/utility_room
344,2,344,/v/valley
345,2,345,/v/vegetable_garden
346,1,346,/v/veterinarians_office
347,2,347,/v/viaduct
348,2,348,/v/village
349,2,349,/v/vineyard
350,2,350,/v/volcano
351,2,351,/v/volleyball_court/outdoor
352,1,352,/w/waiting_room
353,2,353,/w/water_park
354,2,354,/w/water_tower
355,2,355,/w/waterfall
356,2,356,/w/watering_hole
357,2,357,/w/wave
358,1,358,/w/wet_bar
359,2,359,/w/wheat_field
360,2,360,/w/wind_farm
361,2,361,/w/windmill
362,2,362,/y/yard
363,1,363,/y/youth_hostel
364,2,364,/z/zen_garden
